대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL),
,,,,방문요양,방문 요양 시설 알려줘 ,"방문 요양 센터 어디야
방문 요양 해주는 곳","[방문요양]
**표**
연번	기관명	급여종류	기관주소	기관전화번호
1	보령노인복지센터	방문요양, 방문목욕
주야간보호	대천로 113 (죽정동)	041-931-7681
2	웅천노인복지센터	방문요양, 방문목욕	웅천읍 한내1길 270	041-933-6596
3	보령복지노인방문요양센터	방문요양, 방문목욕	희망1길 102-24 (동대동)	041-932-8502
4	동부케어	방문요양, 방문목욕
복지용구제공사업소	청수로길 85 (대천동)	041-934-0675
5	향천노인복지센터	방문요양, 방문목욕	청라면 향천리길 65	041-932-8581
6	중앙방문요양센터	방문요양, 방문목욕	남대천로 91
(대천동, 태영상가 302호)	041-932-3119
7	기쁨나눔노인요양방문센터	방문요양, 방문목욕	명동로 29 (대천동)	041-935-4904
8	한마음복지센터	방문요양, 방문목욕	성주면 심원계곡로 403-54	041-933-5680
9	신웅천재가복지센터	방문요양, 방문목욕	웅천읍 장터중앙길 97	041-933-2059
10	효도노인재가장기요양센터	방문요양, 방문목욕	대흥로 82 (대천동)	041-935-4236
11	원산도노인복지센터	방문요양, 방문목욕,
주야간보호	오천면 원산도3길 151-12	041-936-6005
12	대천간호재가복지센터	방문요양, 방문목욕,
방문간호	번영로 26 (대천동, 2층)	041-932-5399
13	보령사랑노인복지센터	방문요양, 방문목욕	남포면 사현1길 62	041-936-3332
14	금빛재가복지센터	방문요양, 방문목욕	신평로 33 (동대동)	041-935-6566
15	효자손 방문요양센터	방문요양, 방문목욕	주산면 충서로 405	041-933-6755
16	청소효사랑재가복지센터	방문요양, 방문목욕	청소면 청소큰길 194	041-932-3803
17	보령지역자활센터 부설
돌봄복지센터	방문요양, 방문목욕	원동1길 95 (동대동)	041-936-8509
18	미소요양복지센터	방문요양, 방문목욕	대흥로 99 (대천동)	041-936-1568
19	행복재가센터	방문요양, 방문목욕	남포면 봉덕2길 12 (봉덕2길 14)	041-931-6111
20	늘푸른재가복지센터	방문요양, 방문목욕	큰오랏7길 14 (동대동)	041-931-7080
21	주향노인복지센터	방문요양, 방문목욕	작은오랏6길 24 (동대동)	041-933-7949
22	대천노인복지센터	방문요양, 방문목욕	큰오랏4길 14 (동대동)	041-931-0691
23	소망노인복지센터	방문요양, 방문목욕	주교면 토정로 651	041-931-2321
24	(주) 벨에스엠-실버 (보령센터)	방문요양, 방문목욕	신설3길 24-2, 2층 (동대동)	041-933-6641
25	곰내요양복지센터	방문요양, 방문목욕	웅천읍 장터중앙길 133-11	041-931-6988
26	은혜재가복지센터	방문요양, 방문목욕	주공로 50 (명천동, 명천2차@
종합상가 203호)	041-936-1515
27	홀몸어르신지원방문요양센터	방문요양	신설2길 94-1, 203호 (동대동)	041-936-8799
28	햇살노인재가복지센터	방문요양, 방문목욕	중앙로 11 (동대동)	041-935-9067
29	보령밀알교회부설그루터기
재가복지센터	방문요양, 방문목욕
주야간보호	서낭댕이길 11-1 (동대동)	041-931-0999
30	민들레재가복지센터	방문요양, 방문목욕	성주면 성주중앙길 54-13	041-933-5740
31	힐링재가복지센터	방문요양, 방문목욕	번영로 25 (대천동)	041-935-8508
32	사랑나눔요양센터	방문요양, 방문목욕	원동2길 28-3 (대천동)	041-935-0456
33	동부케어재가복지센터	방문요양, 방문목욕	청수로길 85 (대천동)	070-7691-0675
34	섬김재가노인방문요양
보호센터	방문요양, 방문목욕	희망1길 90 (동대동)	041-935-1988
35	산돌간호재가복지센터	방문요양, 방문목욕,
방문간호	명동로 4 (대천동)	041-932-6004
36	평화재가복지센터	방문요양, 방문목욕	미산면 만수로 1066	041-933-1272
37	동행복지센터	방문요양	신설3길 51 (동대동)	041-933-2094",,
,,,,주야간 보호,노인 주야간 보호 시설 알려줘,"노인 주간 보호 센터
노인 야간 보호 센터
노인 주야간으로 돌봐주는 곳 ","[주야간보호]
**표**
연번	기관명	급여종류	기관주소	기관전화번호
1	보령노인복지센터	방문요양, 방문목욕
주야간보호	대천로 113 (죽정동)	041-931-7681
2	원산도노인복지센터	방문요양, 방문목욕
주야간보호	오천면 원산도3길 151-12	041-936-6005
3	보령밀알교회부설그루터기
재가복지센터	방문요양, 방문목욕
주야간보호	서낭댕이길 11-1 (동대동)	041-931-0999",,
,,,,방문목욕,노인 방문목욕 시설 알려줘,"노인 방문목욕 해주는 곳
노인 방문 목욕 센터","[방문목욕]
**표**
연번	기관명	급여종류	기관주소	기관전화번호
1	보령노인복지센터	방문요양, 방문목욕
주야간보호	대천로 113 (죽정동)	041-931-7681
2	웅천노인복지센터	방문요양, 방문목욕	웅천읍 한내1길 270	041-933-6596
3	보령복지노인방문요양센터	방문요양, 방문목욕	희망1길 102-24 (동대동)	041-932-8502
4	동부케어	방문요양, 방문목욕,
복지용구제공사업소	청수로길 85 (대천동)	041-934-0675
5	향천노인복지센터	방문요양, 방문목욕	청라면 향천리길 65	041-932-8581
6	중앙방문요양센터	방문요양, 방문목욕	남대천로 91
(대천동, 태영상가 302호)	041-932-3119
7	기쁨나눔노인요양방문센터	방문요양, 방문목욕	명동로 29 (대천동)	041-935-4904
8	한마음복지센터	방문요양, 방문목욕	성주면 심원계곡로 403-54	041-933-5680
9	신웅천재가복지센터	방문요양, 방문목욕	웅천읍 장터중앙길 97	041-933-2059
10	효도노인재가장기요양센터	방문요양,방문목욕	대흥로 82 (대천동)	041-935-4236
11	원산도노인복지센터	방문요양, 방문목욕
주야간보호	오천면 원산도3길 151-12	041-936-6005
12	대천간호재가복지센터	방문요양, 방문목욕,
방문간호	번영로 26 (대천동, 2층)	041-932-5399
13	보령사랑노인복지센터	방문요양, 방문목욕	남포면 사현1길 62	041-936-3332
14	금빛재가복지센터	방문요양, 방문목욕	신평로 33 (동대동)	041-935-6566
15	효자손 방문요양센터	방문요양, 방문목욕	주산면 충서로 405	041-933-6755
16	청소효사랑재가복지센터	방문요양, 방문목욕	청소면 청소큰길 194	041-932-3803
17	보령지역자활센터 부설
돌봄복지센터	방문요양, 방문목욕	원동1길 95 (동대동)	041-936-8509
18	미소요양복지센터	방문요양, 방문목욕	대흥로 99 (대천동)	041-936-1568
19	행복재가센터	방문요양, 방문목욕	남포면 봉덕2길 12 (봉덕2길 14)	041-931-6111
20	늘푸른재가복지센터	방문요양, 방문목욕	큰오랏7길 14 (동대동)	041-931-7080
21	주향노인복지센터	방문요양, 방문목욕	작은오랏6길 24 (동대동)	041-933-7949
22	대천노인복지센터	방문요양, 방문목욕	큰오랏4길 14 (동대동)	041-931-0691
23	소망노인복지센터	방문요양, 방문목욕	주교면 토정로 651	041-931-2321
24	(주) 벨에스엠-실버 (보령센터)	방문요양, 방문목욕	신설3길 24-2, 2층 (동대동)	041-933-6641
25	곰내요양복지센터	방문요양, 방문목욕	웅천읍 장터중앙길 133-11	041-931-6988
26	은혜재가복지센터	방문요양, 방문목욕	주공로 50 (명천동, 명천2차@
종합상가 203호)	041-936-1515
27	햇살노인재가복지센터	방문요양, 방문목욕	중앙로 11 (동대동)	041-935-9067
28	보령밀알교회부설그루터기
재가복지센터	방문요양, 방문목욕,
주야간보호	서낭댕이길 11-1 (동대동)	041-931-0999
29	민들레재가복지센터	방문요양, 방문목욕	성주면 성주중앙길 54-13	041-933-5740
30	힐링재가복지센터	방문요양, 방문목욕	번영로 25 (대천동)	041-935-8508
31	사랑나눔요양센터	방문요양, 방문목욕	원동2길 28-3 (대천동)	041-935-0456
32	동부케어재가복지센터	방문요양, 방문목욕	청수로길 85 (대천동)	070-7691-0675
33	섬김재가노인방문요양
보호센터	방문요양, 방문목욕	희망1길 90 (동대동)	041-935-1988
34	산돌간호재가복지센터	방문요양, 방문목욕,
방문간호	명동로 4 (대천동)	041-932-6004
35	평화재가복지센터	방문요양, 방문목욕	미산면 만수로 1066	041-933-1272",,
,,,,노인사회활동지원_일반,노인사회활동지원에 대해 알고싶어요,"노인사회활동지원 신청 대상은?
노인사회활동지원 모집방법은?
노인사회활동지원근무기간 및 여건은?","[신청대상]
만65세 이상 기초연금 수급권자로 근로 능력 있는 어르신

[모집방법]
수행기관별 모집 (2월중), 인원부족시 수시모집

[근무 기간 및 여건]
9개월 (3 ~ 11월), 20만원, 월 30 ~ 35시간, 주 2 ~ 3회 근무",,
,,,,노인사회활동지원_사업내용 및 사업효과,노인사회활동지원 사업내용 및 사업효과가 알고싶어요,"노인사회활동지원 사업내용 알려줘
노인사회활동지원  사업효과 알려줘","[공익활동]
-전국형 (4개 프로그램) : 저소득 재가노인의 안정적 생활유지 서비스 제공 (주요사업 : 어르신 안부묻기, 말벗서비스, 도시락배달서비스 등)
-지역형 : 지역특성에 맞게 필요한 공공사업 발굴 및 사업추진 (주요사업 : 아동안전보호, 초등학교 급식도우미, 지역사회 환경개선, 어르신강사파견, 노인확대예방, 아동 · 청소년 보호지원 등 )

[취업활동]
-인력파견형 : 수요처와 연계하여, 필요한 인력 파견 (주요사업 : 잔디식재 등 인력파견 등)

[창업활동]
-공동작업형 : 영농사업으로 작물, 화훼재배를 통한 수익창출 (주요사업 : 황금분재원, 지역영농사업 등)
-제조판매형 : 제조판매를 통한 수익창출 (주요사업 : 누룽지 판매 )

[사업효과]
노인의 능력과 적성에 맞는 사회적 일자리를 창출하여 노인의 건강유지, 사회참여 확대, 소득보장 등 노인복지향상으로 고령사회에 적극 대비",,
,,,여성/가족,노인사회활동지원_사업수행기관,노인사회활동지원 사업수행기관은 뭐야?,노인사회활동지원_사업수행기관 번호 알려줘,"[사업수행기관]
-보령시 사회복지과 (읍 ‧ 면 ‧ 동)
-대한노인회보령시지회 (041-931-2968)
-보령노인종합복지관 (041-931-7677)
-보령효나눔센터 (041-931-8491)",,
,,,,무연분묘 개장공고,무연분묘 개장공고 알려줘,무연분묘 공고사항 알려줘,"[무연분묘 공고]
무연분묘 공고는 아래 URL에서 확인 가능합니다.
<LINK>
무연분묘 공고
https://www.brcn.go.kr/cop/bbs/BBSMSTR_000000000682/selectBoardList.do
무연분묘 공고 URL",,URL 대괄호
,,,,여성권익증진사업,여성권익증진사업에 대해 알려줘,"여성자치대학 운영 시기 알려줘
여성 발명 창의교실 운영시기 알려줘
여성친화 아카데미 운영 시기 알려줘
여성주간 기념행사 시기 알려주세요
","[여성의 능력개발과 사회참여 확대 사업]
여성자치대학 운영: 6 ~ 8월 (10회) / 道와 연계
여성 발명 창의교실 운영: 3월 중 / 35명
여성친화 아카데미 운영: 연 3회 / 450명
여성주간 기념행사 : 7월 중 / 800명
여성 리더의 품격 UP 교육: 1회 / 50명",https://www.brcn.go.kr/welfare/sub03_01.do,
,,,,다문화가족지원_다문화가족지원센터 및 주요사업 현황,다문화가족지원센터 및 주요사업 현황을 알려주세요,"다문화가족지원센터 주요사업 현황
다문화 가족 센터에서 하는 사업 알려줘
다문화 지원 센터 교육 알려주세요","[다문화 가족 지원 센터]
위치 : 보령시 보령시 주공로 50(명천동)
전화번호 : 041-936-8506

[센터 운영 사업]
-교육사업
한국어교육 : 1~4단계 및 특별반 운영
방문교육 : 한국어교육·부모교육·자녀생활 서비스
다문화가족통합교육 : 가족교육, 배우자·부부교육, 부모자녀교육, 다문화이해교육 등
다문화가족취업연계 및 교육지원
-상담사업
상담 및 사례관리
-문화사업
다문화가족 나눔봉사단, 다문화가족 자조모임
-홍보 및 정보 제공
다문화 인식개선 및 지역사회 홍보, 지역사회 네트워크 강화 특성화사업

[특성화사업]
통번역서비스 : 중국어, 베트남어, 필리핀어, 러시아어
언어발달지원 : 언어평가 및 교육이 필요한 다문화가족 자녀(만12세 이하)",https://www.brcn.go.kr/welfare/sub03_02.do,
,,,,다문화가족지원_보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원,보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원 대상과 지원금액 알려주세요,"보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원 대상은?
보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원 금액은?
국제 결혼 지원금
국제 결혼 정착 지원금
국제 결혼 다문화 지원금","[대상]
만35세이상 만50세이하인 농업인 및 어업인 중 국제결혼일 3년이상 전부터 계속 관내 거주자(지원대상일로부터 6개월이내 신청)

[지원금액]
결혼지원금 : 100만원
첫째 아이를 출산시 : 정착지원금 200만원
둘째 아이를 출산시 : 정착지원금 200만원",https://www.brcn.go.kr/welfare/sub03_03.do,
,,,,한부모가족지원_지원대상,한부모가족지원 지원대상을 알려줘,"한부모가족지원 지원대상은?
한부모가족지원 부모 가족 조건 알려줘
한부모가족지원 조손가족이 뭐야
한부모가족지원 청소년 한부모가족","[한부모가족 지원 지원대상]
다음에 해당하는 세대주인 모(母) 또는 부(父)와 만 18세미만(취학 시 만 22세 미만)의 자녀로 이루어진 가정으로서, 2017년 선정기준(소득인정액 기준)을 충족한 자
※ 2012년도부터는 한부모가족에 만18세(취학 시 만22세) 이상의 자녀가 있을 경우에는 그 자녀를 제외한 나머지 가족구성원을 보호함.
※ 지원아동의 나이가 만 18세(취학 시 만22세, 군복무후 취학시 병역의무기간을 가산한 연령)가 도달하는‘연도말’ 까지 지원

[한부모(모 · 부자) 가족]
-배우자와 사별 또는 이혼했거나(이혼소송 중인 자는 제외) 배우자로부터 유기된 자
-정신 또는 신체장애로 인하여 6개월 이상 장기간 근로(노동)능력을 상실한 배우자를 가진 자 (경제활동으로 소득이 있는 경우는 제외, 공적자료로 파악)
-미혼모 또는 미혼부 (사실혼 관계에 있는 자는 제외)
-배우자의 생사가 분명하지 않은 자
※ 배우자의 실종선고 절차가 진행중인 자, 관할 시군구청장이 가출 또는 행방불명 사실을 확인한 경우(거주 불명등록자, 주민등록 직권말소 등)
-가정폭력 등에 의한 배우자 또는 배우자 가족과의 불화 등으로 인하여 가출한 자
-배우자의 군복무로 인하여 부양을 받을 수 없는 자
-배우자의 장기복역으로 인하여 부양을 받을 수 없는 자
-국내에 체류하고 있는 외국인(출입국관리법 제31조에 따른 외국인 등록을 마친 자) 중 대한민국 국민과 혼인 하여 대한민국 국적의 아동을 양육하고 있는 경우로서 위의 조건을 갖춘 자 (미혼모 또는 미혼부 제외)

[조손 가족]
부모로부터 부양을 받지 못하는 아동과 그 아동을 양육하는 (외)조부 또는 (외)조모

[청소년 한부모 가족 ]
한부모가족(모 · 부자가족)의 조건을 갖춘 경우로써 모 또는 부의 연령이 만 24세 이하인 가족
*2017년도 지원대상 연령은 1992년1월1일 이후 출생한 한부모",https://www.brcn.go.kr/welfare/sub03_00.do,
,,,,한부모가족지원_2017년 선정기준(소득인정액 기준),한부모가족지원 선정기준은?,"한부모가족지원 선정기준 알려줘
한부모 지원 소득인정액이 얼마야
한부모 가정 선정 받으려면 기준이 어떻게돼","**표**
구분 2인 3인 4인 5인 6인
한부모 및 조손가족
(기준중위소득의 52%) 1,463,513 1,893,276 2,323,038 2,752,799 3,182,562
청소년 한부모가족
(기준 중위소득의 60%) 1,688,669 2,184,549 2,680,428 3,176,307 3,672,187
<참고> 생계급여 수급자
(기준 중위소득의 30%) 844,335 1,092,274 1,340,214 1,588,154 1,836,093",https://www.brcn.go.kr/welfare/sub03_01.do,
,,,,한부모가족지원_지원내용,한부모가족지원 지원내용은?,"한부모가족 지원내용 알려줘
한부모가족 양육비 지원 알려줘
한부모가족 추가 아동 양육비 지원 알려줘
한부모가정 월동비 지원 알려줘
한부모가족 자녀 학비 지원 알려줘
한부모가족 자녀 학습 지원비 지원 알려줘
한부모가족 학용품비 지원 알려줘
한부모가족 교복 지원비 알려줘
한부모가족 지원 금액 알려주세요
이혼 가정 금액적으로 지원되는거 알려주세요

","[한부모가족 지원 내용]
※부 또는 모의 연령이 만 24세 이상인 경우
**표**
구분	지원대상	지원금액	지원시기
아동양육비	만 13세미만 아동
※ 2004년1월1일 이후 출생아동	자녀 1인당 월 120,000원
※신규책정자의 경우 신청월로 소급지원	매월 20일
추가아동양육비	만 5세이하 아동
(25세이상 미혼한부모, 조손가족)
※ 2011년1월1일 이후 출생아동	자녀 1인당 월 50,000원
※신규책정자의 경우 신청월로 소급지원	매월 20일
월동비	가구별	가구당 연 300,000원	10월말
자녀학비	고등학교 재학중인 자녀	입학금 및 수업료 지원
(학적조회후 학교별 은행계좌 입금)
※ 나머지 금액은 교육청에서 지원	3,6,9,12월
(말일)
자녀학습지원비	초 · 중 · 고등학교 재학중인 자녀
초등학생 연 200,000원
중학생 연 300,000원
고등학생 연 400,000원
반기별
학용품비	중 ·고등학교 재학중인 자녀	연 1회 / 54,100원 지원	연중
교복지원비
(보령시 시책)	중 ·고등학교 신입생
동복 250,000원 지원
하복 150,000원 지원
반기별",https://www.brcn.go.kr/welfare/sub03_02.do,
,,,,청소년 한부모가족지원_지원내용,청소년 한부모가족 지원내용을 알려줘 ,"청소년 한부모 가족 아동 양육비 지원 알려줘
청소년 한부모 가정 검정고시 지원금액 알려줘
고등학생 한부모 고등학생 교육비
청소년 한부모 자립촉진수당 알려줘","[청소년 한부모가족 지원 내용]
※부 또는 모의 연령이 만 24세 이하인 경우
**표**
지원구분	청소년 한부모
아동양육비	청소년 한부모
검정고시학습비	청소년 한부모
고교생교육비	청소년 한부모
자립촉진수당
지급시기	월별	수시지급 (신청시)	분기별 지급	월별 지급
지원액	월 17만원	연 154만원 이내	실비	월 10만원
지원대상	기준중위소득 60%이하
(생계급여수급자제외)	기준중위소득 60%이하
(교육급여수급자제외)	기준중위소득
53%~60%이하
(교육급여수급자제외)	생계급여
의료급여
수급자
지원계획	계좌입금	해당 청소년 한부모가등록한 학원 또는 개인계좌로 입금	해당 청소년 한부모가
재학중인 학교로 계좌입금	계좌입금",,
,,,,한부모가족지원_기타 지원내용,한부모가족 주거지원 내용을 알려줘,"한부모가족 주거지원 알려줘
한부모가족 주거지원 내용은 뭐가있어?
한부모가정 지원 알려줘
한부모 가정 자동차 수수료 감면
한부모 가족 이동통신료 지원
한부모가족 통신비
한부모 건강 보험료
한부모가족 전기요금
한부모가족 취업성공패키지
한부모가족 소송 지원 사업
한부모 차상위 양곡 할인 혜택","[한부모가족 주거지원]
-영구임대주택, 기존주택 매입임대주택, 영세민 전세임대주택 입주 신청에 “무주택 저소득 한부모 가족”은 1순위로 신청 가능
-자동차 검사 수수료 감면 : 교통안전공단 자동차 정기 및 종합검사 수수료 50% 감면
-무인민원 발급기에서 한부모가족 증명서 발급 가능
-이동통신요금 감면혜택 (기본료 및 통화료의 35% 감면됨) : “복지전화신청용수급자증명서” 발급 후 통신사에 방문 제출, 1가구당 총 4명까지 가능
-건강보험료 지원 : 지역가입자 해당, 부과소득 및 재산기준에 따라 월 보험료 10~30% 경감, 국민건강보험공단에 “한부모가족 증명서” 제출
-전기요금 할인 :차상위계층(한부모가족 해당)은 월 최대 2,000원 감면 (국번없이 123에 문의)
-취업성공패키지 : 고용노동부 사업, 취업상담 및 연계, 교육 등(고용노동부 1350 문의)
-자녀양육비 및 친자확인인지청구 소송지원사업 : 여성가족부가 소송비용 전액 지원 (문의 국번없이 132)
-차상위 양곡할인혜택 : 주소지 읍·면·동주민센터 신청",https://www.brcn.go.kr/welfare/sub03_03.do,
,,,,한부모가족지원_관련 사업안내,한부모가족지원 관련 사업을 알려줘,"한부모가족 관련 사업중 양육비이행관리원이 뭐야?
한부모가족 관련 사업중 한부모가족 자녀양육비 이행확보 무료법률지원사업은 뭐야?","[양육비이행관리원 (여성가족부 산하)]
-지원내용 : 복잡한 절차와 많은 비용으로 양육비를 포기한 양육부 · 모들의 어려움을 덜어내고, 자녀양육비 확보를 위하여 정부에서 양육비 이행 원스톱 종합서비스를 제공
-양육비 관련 상담 및 협의성립 지원
-양육비 청구 및 이행확보 등을 위한 법률지원
-합의 또는 법원의 판결에 의하여 확정된 양육비 채권 추심지원
-양육비 채무 불이행자에 대한 제재조치
-한시적 양육비 긴급지원
-문의전화 : 1644-6621

<LINK>
양육비이행관리원
www.childsupport.or.kr
양육비이행관리원 홈페이지

[한부모가족 자녀양육비 이행확보 무료법률지원사업 (여성가족부)]
-지원내용 : 자녀를 양육하는 모(또는 부)가 이혼 이후 자녀를 양육하지 않는 전 배우자로부터 양육비를 지급 받을 수 있도록 자녀양육비 청구 및 이행확보(강제집행, 압류, 전 배우자의 봉급에서 징수 등)을 위하여 자녀 양육비 이행확보 무료법률지원사업 실시
-문의
대한법률구조공단(국번없이 132)
한국가정법률상담소(국번없이 1644-7077)
대한변호사협회( 02-3476-6515)

<LINK>
대한법률구조공단
www.Klac.or.kr
대한법률구조공단 홈페이지

<LINK>
한국가정법률상담소
www.lawhome.or.kr
한국가정법류상담소 홈페이지

<LINK>
대한변호사협회
www.legalaid.or.kr
대한변호사협회 홈페이지",,
,,,,경력단절여성취업지원,경력단절여성취업지원에 대해 알려줘,"여성새로일하기센터에 대해 알려줘
경력단절여성 취업지원 센터가 있어?","[여성새로일하기센터 사업개요]
목 적 : 경력단절여성 취업지원 전담 ONE-STOP 여성종합취업지원센터 운영
사업기간 : 연중 (2009. 2. 여성가족부 최초지정)
추진근거 : 경력단절여성등의 경제활동촉진법

[사업추진]
사업운영 : 1개 센터(보령여성새로일하기센터)
주요사업 : 여성인턴제,사후 관리지원, 취업설계사 운영, 직업교육훈련과정 운영 등

[문의]
보령여성새로일하기센터 041-935-9663",https://www.brcn.go.kr/welfare/sub03_04.do,
,,,,아이돌봄서비스_아이돌봄지원사업(일반),아이돌봄지원 사업에 대해 알려줘,"아이돌봄지원 이용방법 알려줘
아이돌봄지원 어떤걸 지원하나요?
아이돌봄지원 어떤종류가 있나요?","[사업기관]
보령시 건강가정지원센터(돌보미 연계 및 서비스 제공)

[이용문의]
위치 : 보령시 중앙로 15 인승빌딩 202호
전화 : 041-935-0131
팩스 : 041-933-0132

[신청방법]
1. 아이돌봄지원사업 홈페이지에 회원가입
2. 정부지원-양육공백 입증자료 및 소득증명 자료 준비하여 읍·면·동 주민센터로 신청
3. 보령시 건강가정지원센터 아이돌봄지원사업팀으로 이용예약

<LINK>
아이돌봄지원사업
https://idolbom.mogef.go.kr
아이돌봄지원사업 홈페이지",https://www.brcn.go.kr/welfare/sub03_05.do,
,,,,아이돌봄서비스_사업내용,아이돌봄지원 돌봄 종류를 알려주세요,"아이돌봄지원 시간제돌봄은 뭐에요?
아이돌봄지원 종합형돌봄은 뭐에요?
아이돌봄지원 종일제돌봄은 뭐에요?
아이돌봄지원 보육교사형 돌봄은 뭐에요?","[시간제 돌봄]
-부모가 올 때까지 임시 보육, 놀이활동
-간단한 급·간식 서비스
-보육시설 및 학교 등·하원 서비스
-안전·신변보호 처리 등
-가사활동 제외

[종합형 돌봄]
-시간제서비스 외 돌봄아동과 관련된 가사 서비스 제공

[종일제 돌봄]
-이유식,젖병소독,기저귀갈기, 목욕 등 영아 돌봄과 관련된 활동전반(건강, 영양, 위생, 교육 등)
-양육수당과 중복 지원 불가
-가사활동 제외

[보육교사형 돌봄]
-보육교사 자격증을 소지한 아이돌보미의 월간활동 계획에 따른 영아 표준 돌봄 프로그램 서비스 제공",https://www.brcn.go.kr/welfare/sub03_06.do,
,,,,아이돌봄서비스_이용요금,아이돌봄서비스 이용요금 알려줘,"아이돌봄서비스 얼마에요?
아이돌봄 서비스 시간제는 얼마에요?
아이돌봄서비스 종일제는 얼마에요?","[아이돌봄서비스 이용요금]
**표**
유형	소득 기준(‘15년)
(전국가구 평균소득,
4人 기준)	시간제(6천원/시간)	종일제(월120만원/200시간)
정부지원	본인부담	0세	1세
정부지원	본인부담	정부지원	본인부담
가	50% 이하
(월 248만원)	4,500원	1,500원	84만원	36만원	78만원	42만원
나	50~70% 이하
(월 348만원)	2,700원	3,300원	72만원	48만원	66만원	54만원
다	70~100% 이하
(월 497만원)	1,5000원	4,500원	60만원	60만원	54만원	66만원
라	100% 초과	-	6,000원	48만원	72만원	42만원	78만원",https://www.brcn.go.kr/welfare/sub03_05.do,
,,,,건강가정사업_일반,건강가정사업 이용문의 ,"건강가정사업이 뭐에요?
건강가정사업 문의하고 싶어요","[건강가정사업]
가족문제의 예방과 해결을 위한 가족돌봄나눔사업, 생애주기별 가족교육사업, 가족상담사업, 가족친화문화조성사업, 정보제공 및 지역사회네트워크 사업추진 하고 있으며 일반가족은 물론 한부모가족, 조손가족, 다문화가족, 일탈청소년가족, 군인가족, 수용자가족, 맞벌이가족, 이혼 전후 가족 등의 다양한 가족지원을 위한 상담, 교육 및 문화프로그램이 결합된 맞춤형 통합서비스를 제공

[이용문의]
전화 : 041-934-3133 보령시건강가정지원센터
상담전용전화 : 041-934-0033
행복누리공동육아나눔터 : 070-7730-1589
팩스 : 041-933-0132
센터 홈페이지
센터 다음카페
행복누리공동육아나눔터 카페

<LINK>
보령시건강가정지원센터
boryeong.familynet.or.kr
보령시건강가정지원센터 홈페이지

<LINK>
보령시건강가정지원센터 다음카페
http://cafe.daum.net/brhf
보령시건강가정지원센터 다음카페

<LINK>
행복누리공동육아나눔터 다음카페
http://cafe.daum.net/boryeongfamily
행복누리공동육아나눔터 다음카페",https://www.brcn.go.kr/welfare/sub03_06.do,
,,,,건강가정사업_건강가정 사업영역,건강가정사업엔 뭐가 있나요?,건강가정사업의 영역을 알려줘,"[건강가정사업 영역]
1. 가족돌봄나눔
-모두가족봉사단,모두가족품앗이,아버지- 자녀가 함께하는 토요프로그램,아이돌보미사업,공동육아나눔터

2. 가족교육
-생애주기별(조)부모교육 : 예비/신혼기 부부, 결혼준비교육학년 전/학년기, 청소년기 자녀를 둔 부모교육, 중년 개, 노년기 교육
-남성대상 교육: 아버지교육, 남성대상 놀봄참여

3. 가족상담
-가족(집단)상담,이혼 전/후 가족상담,부모자녀 상담,부부상담,재혼가족상담,고부갈등상담,가족관계에 의한 갈등상담 등

4. 지역사회연계
-지역사회 협의체 연계,센터사업 유관기관 연계

5. 다양한 가족 통합지원
-조손가족,맞벌이가족,군인가족

6. 가족문화
-가족사랑의 날 프로그램,가족여가 프로그램,지역참여 및 나눔행사,건강가정 관련 캠페인 등 이 있습니다",https://www.brcn.go.kr/welfare/sub03_06.do,
,,,,여성친화도시조성,여성친화도시가 무엇인가요?,"여성친화도시 설명해줘
여성친화도시에 대해 알려줘","[여성친화도시]
지역발전에 남녀가 동등하게 참여하고, 여성ㆍ가족친화적인 도시공간을 재조명하고 일상적인 삶의 불편을 없애고 안전과 편리, 참여와 소통, 배려가 보장되는 시민 모두가 행복하고 살기좋은 여성친화도시 조성 사업

[여성친화도시 4대 가치]
-형평성 : 지역사회 참여 기회 및 일상생활의 안전과 편의 형평성
-돌봄 : 아동, 노인, 장애인 돌봄을 시민들과 공유하며 여성의 일과 가정생활 양립
-친환경 : 생태적이며 지속 가능한 방향으로 삶을 촉진하는 지역발전
-소통 : 시민들과 대화하고 의견을 청취하여 민주적이며 개방적인 열린도시

[시민 모두가 행복하고 살기좋은 여성친화도시 조성]
-사업기간 : 2014년 ~ 2018년
-추진체계
1단계 : 여성친화도시 조성 인프라 기반 구축, 여성가족부와 여성친화도시 지정(2013.12.2)
2단계 : 여성친화도시 조성을 위한 과제 추진(63개)
3단계 : 여성친화도시 조성사업 평가, 기존 사업 개선 및 신규사업 발굴
-추진영역 : 6개영역(안전, 돌봄, 건강, 문화, 성평등, 일자리)
-여성 가족의 삶에 영향을 주는 사업에 성인지 관점 반영 추진으로 시민의 삶의 질 향상",https://www.brcn.go.kr/welfare/sub03_07_01.do,
