대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL)
,,,,요보호아동지원_입양아동 지원2,입양기관현황 알려줘,입양기관에 대해 알려줘,"입양기관 현황
https://www.brcn.go.kr/welfare/sub05_01.do <표참고>",https://www.brcn.go.kr/welfare/sub05_00.do
,,,,요보호아동지원_가정위탁아동 지원,가정위탁아동 지원에 대해서 알려주세요,"가정위탁아동 지원 대상아동은?
가정위탁아동 유형은?
가정위탁아동 지원내용은?
","목적
보호를 필요로 하는 아동을 적합한 가정에 일정기간 위탁하여 아동의 정서적 안정을 도모하고 안정적인 양육환경 제공

대상아동
만18세 미만의 아동 (만18세 이상인 경우에도 고등학교 재학중인 아동은 포함) 으로서 부모의 사망, 가출, 실직, 수감 등의 사유로 보호가 필요한 아동
소년소녀가정의 가정위탁보호 전환 추진
※ 소년소녀가정보호 제도는 아동에게 위험을 초래할 수 있어 UN등에서도 폐지를 권고하고 있음

가정위탁유형
대리양육가정위탁 : 친조부모, 외조부모에 의한 양육
친인척 가정위탁 : 친조부모, 외조부모를 제외한 친인척에 의한 양육
일반 가정위탁 : 일반인에 의한 가정위탁
지원내용
양육보조금 지원 : 아동 1인당 월 120천원 이상
국민기초생활보장법에 의한 생계비 등 지원
가정위탁아동 상해보험료 지원
위탁아동 후유장해, 입원ㆍ통원 의료비 등 지원
보험료 : 1인당 년7만원 이내
가정위탁보호비 추가지원 : 43천원 / 가정 ㆍ 월
대리양육 ㆍ 친인척 위탁 가정 전세자금 지원 (국토해양부)",https://www.brcn.go.kr/welfare/sub05_01.do
,,,,아동복지시설_아동양육시설 지원,아동양육시설 지원에 대해서 알려주세요,"아동양육시설 입소 대상아동을 알려줘
아동 양육시설 현황을 알려줘
","목적
보호를 필요로 하는 아동을 양육시설에 입소시켜 안전하게 보호하고 건전하게 양육하여 사회인으로 자립하도록 지원

입소대상 아동
관련근거 : 아동복지법 제15조 제1항
보호자가 없거나 보호자로부터 이탈된 아동
보호자로부터 학대받은 아동
보호자의 학대로 아동보호전문기관에 신고되어 동 기관이 시장에게 보호조치를 의뢰한 아동 (특히, 아동에게 장애가 있거나 문제 행동이 심각한 경우 아동보호 전문기관에서 아동의 시설 입소를 의뢰하면 반드시 입소될 수 있도록 해야 함)
기초생활보장수급자로서 보호자의 질병, 가출 등으로 가정내에서 보호하기 어려운 아동
시장 또는 구청장이 특별히 보호가 필요하다고 인정하는 아동
아동양육시설 현황
연번 시설명 주소 시설명 정원 현원 비고
계 106 86
1 대천애육원 보령시 마루뜰길 36 김송자 57 48
2 보령육아원 보령시 보령남로 207 이정은 49 38 ",https://www.brcn.go.kr/welfare/sub07_04.do
,,,,아동복지시설_지역아동센터 지원,지역아동센터지원에 대해 알려주세요,"지역아동센터 입소대상 아동은 누구인가요?
지역아동센터 지원내역 알려주세요
지역아동센터 현황 알려주세요","목적
방과후 돌봄이 필요한 지역사회 아동의 건전육성을 위하여 보호 · 교육, 건전한 놀이와 오락의 제공, 보호자와 지역사회의 연계 등 종합적인 복지서비스 제공

입소대상 아동
관련근거 : 아동복지법 제52조 제1항
국민기초생활보장 수급권자가정아동
차상위계층가정아동, 보호대상 한부모가정아동, 다문화가정아동, 장애가정아동
전국 평균소득가구 70%이하 가구중 보호와 지원이 필요하다고 판단하는 아동으로 시장의 승인아동
지원내역
문화서비스 제공 : 문화체험 및 다양한 문화경험의 장 제공
지역사회 아동보호 실현 : 지역사회 안에서 아동 권리보장과 안전한 보호, 급식 등 지원
교육적 지원 : 아동의 학습능력 제고, 학교 부적응 해소, 일상생활 지도, 학교생활유지 및 적응력 강화",https://www.dreamstart.go.kr/bory/contents/sub01_01_02.asp
,,,,청소년복지시설,청소년 복지시설은 어떤게 있나요?,"청소년 복지시설 알려줘
보령시 청소년 수련관에 대해 알려줘
보령시 청소년문화의집 알려줘
보령시 청소년 상담복지센터에 대해 알려줘 ","보령시 청소년수련관
보령시 청소년수련관은 1998년 개관하여 시 직영으로 운영하다 2010년부터 보령시 시설관리공단에서 운영 관리중이며 청소년들의
권리 증진과 지도력 개발을 위한 프로그램을 개발 · 보급하며 도전정신을 기를 수 있는 모험 개척활동, 환경보전활동, 과학적
탐구능력을 증대시키는 프로그램을 운영하고 있다.

위치 : 보령시 성주산로 500
수탁기관 : 보령시 시설관리공단
직원 : 4명
규모: 지하 1층, 지상 3층
보령시 청소년문화의집
생활권내의 청소년들의 다양한 문화 활동을 실시할 수 있는 시설 설비를 갖추고 문화 · 예술 · 정보 중심의 수련활동을 실시하는 청소년 수련시설로서 보령시 청소년이라면 누구나 이용할 수 있는 다양한 프로그램 운영함으로써 지역 내 청소년들의 문화 활동에 기여

위치 : 보령시 문화원길 9 (동대동)
수탁기관 : (사)보령시청소년교화연합회
시설규모 : 1,339㎡
주요시설 : 파워인터넷, 파워무비, 자료실, 파워댄스 등
보령시 청소년상담복지센터
보령시 청소년상담복지센터는 「 청소년기본법 」 에 따라 설치된 전문적인 청소년상담기관으로 청소년, 학부모, 교사 등을 대상으로
개인 및 집단 상담, 심리 전화상담, 심리검사, 사이버 상담 등 종합적인 상담서비스를 제공하고 있으며, 청소년 전화 “1388”을 24시간 운영하며 위기 청소년 긴급구조 및 일시보호 서비스를 제공함으로써 위기 청소년들을 지원하고 있다.

위치 : 보령시 문화원길 9 (동대동)
수탁기관 : (사)보령시청소년교화연합회
직원 : 6명
주요시설 : 1,178명",https://www.brcn.go.kr/welfare/sub07_05.do
,,,,청소년보호육성_유해환경 지도단속,청소년 유해환경 지도단속에 대해 알려주세요,"청소년 유해환경 지도단속 기간은 언제인가요?
청소년 유해환경 지도단속 지역은?
청소년 유해환경 지도단속 대상은?","유해환경 지도단속
단속기간 : 연중
청소년보호 유관기관 (경찰서, 교육청, 유해환경감시단, 여성청소년과 등) 합동지도단속 : 월 4회 이상 실시
단속지역 : 보령시 전역
단속대상 : 청소년보호법에 의한 유해매체물, 유해약물, 유해물건, 유해업소, 청소년 고용금지업소",https://www.brcn.go.kr/welfare/sub05_00.do
,,,,청소년보호육성_청소년출입 / 고용금지업소,청소년 출입금지 업소 알려줘,"청소년 출입금지 업소는?
청소년 출입금지 위반행위는?","청소년출입 / 고용금지업소
종류
유흥주점, 단란주점, 비디오물감상실업, 노래연습장업 (청소년 출입시설 갖춘 업소 제외) 무도학원업, 무도 장업, 사행행위영업,
전화방, 화상대화방, 여성가족부 고시

대상 행위자 위반행위
청소년 출입금지 위반 업주
종사자 제29조 제2항의 규정에 위반하여 청소년을 유해업소에 출입시킨 자
※ 제29조 제2항 : 청소년출입 · 고용금지업소의 업주와 종사자는 출입자의 나이를 확인하여 청소년이 그업소에 출입하지 못하게 하여야 한다.
청소년이 친권자등을 동반할때는 출입을하게 할 수 있다.
다만 유흥주점, 단란주점 영업의 경우에는 그러하지 아니하다
(법 제 29조 제4항, 영 제27조)
청소년 고용금지 위반 업주 제29조 제1항의 규정에 위반하여 청소년을 유해업소에 고용한 자
※ 청소년 유해업소 업주는 종업원을 고용하고자 하는 때에는 그연령을
확인하여야하며, 청소년을 고용하여서는 아니된다.
청소년 출입 · 고용 금지표시
불이행 업주 ·
종사자 제29조 제5항의 규정에 위반하여 청소년유해업소의 청소년 출입 · 고용제한표시를 하지 아니한 자
※ 제29조 제5항 : 청소년유해업소의 업주와 종사자는 그 업소에 대통령령으로
정하는 바에 따라 청소년의 출입과 고용을 제한하는 내용을 표시 하여야 한다.
청소년 출입 · 고용금지업소의 출입구중 가장 잘보이는 곳에 「 19세미만 출입 · 고용금지업소 」 표지 부착 (영 제28조)",https://www.brcn.go.kr/welfare/sub05_01.do
,,,,청소년보호육성_청소년 고용금지업소,청소년 고용금지업소에 대해서 알려줘,"청소년 고용금지업소 종류는?
청소년 고용금지업소 규제내용은?
","청소년 고용금지업소
종류
숙박업, 이용업 (다른법령에서 취업이 금지되지 아니하는 남자청소년 제외), 목욕장업 중 안마실 설치영업하거나 개실로 구획하여
하는 영업, 유독물제조 · 판매 · 취급업, 티켓다방, 주류판매목적의 소주방 · 호프 · 카페등 형태의 영업, 비디오물 판매 · 대여업,
종합게임장, 만화대여업, 청소년보호위원회 고시업소

규제내용
대상 헹위자 위반행위 위반사형자처벌 과장금 (타법령에 의한 처분의 대상이 아닌 경우)
청소년 고용금지
위반 업주 제29조제1항의 규정에 위반하여 청소년을
유해업소에 고용한 자
※ 청소년 유해업소 업주는 종업원을 고용하고자 하는 때에는 그연령을 확인하여야하며, 청소년을 고용하여서는 아니된다. 3년이하징역 또는 2천만원이하 벌금 (법 제58조 제4호) 1명1회 고용마다 1,000만원",https://www.brcn.go.kr/welfare/sub05_02.do
,,,,청소년보호육성_청소년공부방,청소년 공부방에 대해서 알려줘,"청소년 공부방 이용 대상자는?
청소년 공부방 운영시간 알려줘
청소년 공부방 이용가능인원?
청소년 공부방 이용료는?","청소년공부방
사업내용 : 지역 내 청소년을 위해 학습공간 조성
대상자 : 지역 내 청소년
운영기간 및 운영 일시 : 연중 (매주 월요일, 법정 공휴일[일요일 제외] 휴무), 평일 17시 ~ 23시, 일요일 15시 ~ 23시,
방학기간 15시 ~ 23시
이용가능인원 : 40명 (좌석 수)
이용료 : 무료
이용방법 : 이용 시간 내 자유롭게 이용",https://www.brcn.go.kr/welfare/sub05_03.do
,,,,청소년보호육성_보령시 청소년 방과후아카데미,보령시 청소년 방과후 아카데미가 뭐에요?,"보령시 청소년 방과후아카데미란?
보령시 청소년 방과후아카데미 신청대상자는?
보령시 청소년 방과후아카데미참가비용은?
보령시 청소년 방과후아카데미 사업내용 알려줘","보령시 청소년 방과후아카데미
청소년 방과후 아카데미란?
여성가족부와 보령시의 지원으로 소년들의 건강한 방과후활동과 삶의 질 향상을 위해 가정이나 학교에서 체험하지 못했던 다양한
청소년활동 프로그램 및 청소년생활관리 등 청소년을 위한 종합서비스

신청대상자 : 방과 후 나홀로 청소년, 학교나 가정에서 체험하지 못한 다양한 경험과 활동을 체험 하고 싶은 청소년
모집정원 : 보령시내지역 4, 5, 6학년 청소년 40명
참가비용 : 전액무료 (단, 교재비는 개인부담)
신청방법 : 보령시청소년수련관내 3층 청소년 방과후 아카데미 (또는 사회복지과 아동청소년팀) 방문신청 (041-930-3257)
사업내용
학습지원활동, 자기개발활동, 전문체험활동, 특별지원, 생활지원과정으로 구성

토요체험활동 (주 1회 주말체험활동, 주 2회 자율체험활동 운영)

체험활동의 날 : 공연관람, 요리하기, 축제참가, 공예활동 등 다양한 문화활동을 실시
관계형성의 날 : 또래관계 형성 및 협동심과 리더십을 향상 시킬 수 있는 팀워크 활동
봉사의 날 : 장애우, 양로원, 청소활동 등을 통해 타인을 이해할 수 있는 마음을 넓히고 나도 누군가에게 필요한 존재임을 느낄 수 있음
지역연계활동: 지역사회와의 연계를 통한 다양한 활동을 실시",https://www.brcn.go.kr/welfare/sub05_04.do
,,,,청소년보호육성_청소년어울림마당,청소년 어울림마당에 대해 알려줘,"청소년 어울림마당이란?
청소년 어울림마당 사업개요?
청소년 어울림마당 운영기간은?
청소년 어울림마당 운영장소는?
청소년 어울림마당 운영내용은?","청소년어울림마당
청소년 어울림마당이란?
청소년들의 문화적 감성함양과 역량개발을 지원하는 시설, 조직, 프로그램 등으로 구성된 인프라로서 상시적으로 활동할 수 있는
지역적 공간

청소년 : 청소년어울림마당의 주인공이며 사업의 주체
문화 : 다양한 청소년문화와 프로그램의 자원으로서의 콘텐츠 (체험, 공연, 전시 등)
사업개요
운영기간 : 4월 ~ 11월 (월 1회 토요일 운영)
운영장소 : 대천천 및 대천해수욕장
운영주최 : 여성가족부, 보령시
운영주관 : 보령시청소년상담복지센터
운영방향
청소년 및 시민들이 함께 참여하는 체험활동 위주
청소년들의 끼와 재능을 알릴 수 있는 문화마당의 장으로 운영
참가신청: 보령시청소년상담복지센터 / 041-936-5710
운영내용
구분 내용
공연마당 청소년들이 참가하는 합창, 중창, 기악연주, 보컬, 힙합댄스, 응원댄스, 마술, 수화, 풍물놀이, 난타
등의 공연 프로그램
체험마당 청소년들이 체험할 수 있는 과학, 미술, 애니메이션, 페이스페인팅 코스프레 등의 전시 및 체험
프로그램 등
놀이마당 청소년과 시민들이 함께 할 수 있는 레크리에이션 프로그램",https://www.brcn.go.kr/welfare/sub05_05.do
,,,,장애생활안정지원_장애인연금,장애인 연금에 대해서 알려주세요,"장애인 연금 수령 대상은?
장애인 연금 수령 등급은?","대상 : 만18세이상의 등록한 중증장인 중 본인과 배우자의 소득인정액이 선정기준 이하인 자
소득기준 : 1인 (단독) 93만원 이하, 2인 (부부) 148만8천원
장애등급 위탁심사 (국민연금광리공단에서 심사)
장애등급 : 장애등급 1급, 2급 또는 3급 중복장애",https://www.brcn.go.kr/welfare/sub06_01.do
,,,,장애생활안정지원_장애인연금지급내역,장애인 연금 지급 내역에 대해서 알려줘,"장애인 연금 지급 내역은?
","장애인연금 지급내역
예산액
(천원) 부가급여 연령 기초급여 부가급여
단독 부부인경우
1인수급 2인모두수급
2,607,523 기초 (재가) 18 ~ 64세 200,000 160,000 8만원
65세이상 - - 28만원
기초
(보장시설) 18 ~ 64세 200,000 160,000 0
65세이상 - - 7만원
차상위계층 18 ~ 64세 200,000 160,000 7만원
65세이상 - - 7만원 ~ 14만원
차상위초과 18 ~ 64세 200,000 160,000 2만원
65세이상 - - 4만원",https://www.brcn.go.kr/welfare/sub06_02.do
,,,,장애생활안정지원2,장애생활안정지원에 대해 알려줘 ,"장애수당 대상 알려줘
월세거주 장애인주거비 대상 알려줘
부부장애수당 대상 알려줘
중증장애인 가구월동비 대상 알려줘
","장애수당
대상 : 만18세이상의 등록한 장애인 중 3급 ~ 6급의 장애등급을 가진자로 기초생활수급자 및 차상위계층
월세거주 장애인주거비
대상 : 세대주가 등록장애인인 월세거주 장애인가구
부부장애수당
대상 : 부부가 장애인으로 등록된 세대
중증장애인 가구월동비
대상 : 국민기초생활보장법에 의한 수급자 및 차상위계층의 중증장애인 가구
신청방법 : 본인 또는 신청의 대리 (신청인의 가족이나 친족 및 그 밖의 관계인)",https://www.brcn.go.kr/welfare/sub06_03.do
,,,,장애생활안정지원_장애인 수당 지급내역,장애인 수당 지급내역을 알려줘,장애인 수당 예산액 내역 알려줘,"장애인 수당 지급내역
예산액
(천원) 수당구분 내역
151,000 지자체 급여 장애인연금대상자 월 12,000원
584,000 장애수당 기초 수급자 중 경증 월 40,000원
차상위 차상위계층 중 중증 월 40,000원
시설 중증 70,000원, 경증 20,000원
장애아동수당 기초 만18세미만 중증 200,000원, 경증 100,000원
차상위 만18세미만 중증 150,000원, 경증 100,000원
시설 만18세미만 중증 70,000원, 경증 20,000원
237,347 월세거주수당 가구 / 월 35,000원
168,000 부부장애수당 가구 / 월 35,000원
92,000 중증장애인 월동비 연2회 가구 / 65,500원 (11월, 1월)",https://www.brcn.go.kr/welfare/sub06_04.do
,,,,장애생활안정지원_3,장애생활안정지원 센터에 대해 알려줘,"수화통역센터에 대해 알려줘
시각장애인 심부름센터에 대해 알려줘
장애인편의시설 지원센터에 대해 알려줘
중증장애인 자립생활지원센터에 대해 알려줘","수화통역센터
센터 소재지의 인근 지역 등록 청각 · 언어장애인
의사소통에 지장이 있는 청각 · 언어장애인에 대한 수화통역 및 상담서비스 제공
시각장애인 심부름센터
이동에 상당한 제약이 있는 장애인에게 차량운행을 통한 직장 출 · 퇴근 및 외출 보조 기타 이동서비스를 제공
이동에 제약이 있는 장애인에게 차량운행을 통하여 민원업무보조, 시장보기 및 병원 이용보조 등 서비스 제공
장애인편의시설 지원센터
장애인 등을 위해 편의시설에 대한 사회적 이해 촉진과 그 설치에 필요한 기술지원과 상담 및 홍보 · 교육 등 편의증진 도모
장애인편의시설 설치 실태조사 및 편의시설 설치에 필요한 기술개발 및 도입
중증장애인자립생활지원센터
중증장애인을 대상으로 포괄적인 자립생활 정보제공, 권익옹호 활동, 동료상담, 자립생활기술 훈련, 활동보조서비스 제공
지역시민단체와 연대활동을 통해 장애인에 대한 이해촉진 및 장애 · 비장애 소통 활성화 도모",https://www.brcn.go.kr/welfare/sub06_05.do
,,,,장애생활안정지원_장애인복지시설현황,장애인 복지시설 현황에 대해 알려줘,장애인 복지시설 문의 번호 알고싶어요,"장애인복지시설 현황
시설명 시설유형 시설장 설립일 생활
(이용)자 종사자 지원주체 주요사업 비고
수화통역센터 이용시설 김청심 2006.10.1 75 3 보령시 농아인편의지원 041-936-8005
심부름센터 이용시설 최병분 1997.6.1 170 6 보령시 시각장애인
편의지원 041-936-0707
편의시설
지원센터 이용시설 김혁연 2007.1.1 20 2 보령시 건축물 등
장애인편의시설 041-934-7842
중증장애인
자립지원센터 이용시설 조규승 2013. 1. 1 150 4 보령시 중증장애인자립
생활지원 등 041-936-4788",https://www.brcn.go.kr/welfare/sub06_06.do
,,,복지기관,장애인복지시설,장애인 복지시설에 대해 알려주세요,"장애인 복지시설이 뭐에요?
장애인시설 현황 알려주세요
","장애인복지시설 정의
사회복지사업법에 따른 ‘사회복지사업’을 행할 목적으로 설치된 시설
장애인복지시설은 생활시설과 이용시설로 구분
장애인시설 분류
생활시설 : 장애유형별 거주시설, 중증장애인 거주시설, 장애영유아 거주시설, 장애인단기 거주시설, 장애인공동생활가정
이용시설 : 지역사회재활시설, 장애인의료재활시설, 직업재활시설, 장애인생산품 판매시설
우리시 장애인시설 현황
장애인생활시설 : 충남정심원, 정심요양원, 이야기마을
지역사회재활시설 : 충남서부장애인종합복지관, 정심체육관, 보령시장애인심부름센터, 보령시수화통역센터,
보령중증장애인자립생활지원센터, 충남장애인 사랑의원, 충남서부장애인종합복지관 주간보호시설, 충남서부장애인종합복지관
공동생활가정
장애인의료재활시설 : 충남장애인 사랑의원
장애인직업재활시설 : 정심작업장, 보령시장애인보호작업장
참고사항
충남정심원 (www.jeongsim.or.kr)
종류 : 지적장애인시설
종사자수: 106명
입소정원 : 270명
정심요양원 (www.jeongsim.or.kr)
종류 : 중증장애인요양시설
종사자수 : 26명
입소정원 : 42명
이야기마을 (www.pis0691.org)
종류 : 지적장애인시설
종사자수 : 15명
입소정원 : 30명",https://www.brcn.go.kr/welfare/sub07_06.do
,,,,장애인일자리_사업목적,장애인일자리 사업목적은뭐에요?,장애인일자리 사업에 대해 설명해주세요,"사업목적
취업 취약계층인 장애인에게 일자리 제공을 통한 사회참여 확대 및 소득보장 지원
장애 유형별 맞춤형 신규 일자리 발굴 및 보급을 통한 장애인일자리 확대
근로연계를 통한 장애인복지 실현 및 자립생활 활성화",
,,,,장애인일자리_일반형일자리,장애인 일자리 일반형 일자리에 대해 알려줘,"장애인 일반형 일자리 사업대상에 대해 알려줘
일반형 일자리 사업대상은?
일반형 일자리 사업유형은?
","일반형 일자리
사업대상 : 만 18세 이상 장애인복지법상 등록장애인
근로조건 및 보수
주 5일 (40시간)
1일 8시간
월 1,167,000원
참여인원 : 16명 (2015년 현재)
사업유형 및 주요 직무
복지 및 일반행정 지원, 장애인일자리사업 전담 인력
장애인복지 및 사회복지 서비스 전담 지원",
,,,,장애인일자리_참여형일자리,장애인 일자리 참여형 일자리에 대해 알려줘,"장애인 일자리 참여형 일자리 사업대상은?
장애인 일자리 근로조건 및 보수는?
장애인 일자리 사업유형은?","참여형 일자리
사업대상 : 만 18세 이상 장애인복지법상 등록장애인
근로조건 및 보수
주 14시간 이내 (월 56시간)
월 313,000원
참여인원 : 52명 (2015년 현재)
사업유형 및 주요 직무
참여자의 흥미와 직업능력을 반영한 맞춤형 직무수행",https://www.brcn.go.kr/kor/sub05_04_08_01.do
,,,,장애인단체,장애인 단체 현황을 알려줘,장애인 단체 종류 알려줘,https://www.brcn.go.kr/welfare/sub06_05.do,
,,,,여성장애인 출산 비용 지원,여성 장애인 출산비용 지원에 대해 알려줘,"여성 장애인 출산비용 지원 대상은?
여성 장애인 출산비용 지원내용은?
여성장애인 출산비용 신청방법은?","지원대상: 1∼6급의 등록한 여성장애인 중 출산 및 유산·사산한 자
2016년 1월 1일 이후 출산한 자
2016년 1월 1일 이후 임신기간 4개월 이상의 태아를 유산·사산한 자
※ 단, 인공 임신중절 수술에 따른 유산의 경우는 지원 불가

지원내용
출산(유산·사산 포함) 시 태아 1인 기준 1백만원 지원 / 계좌 입금
신청방법
신청권자 : 여성장애인 본인 또는 그 가족
※ 본인 신청이 원칙이며 부득이한 경우 대리신청 가능

※ 배우자, 직계혈족, 형제·자매

신청장소 : 주소지를 관할하는 읍·면사무소, 동주민센터/방문신청
신청서류 : 신청자 신분증(대리신 신청 시 대리인 본인 신분증 포함) 신청서, 출생증명서(주민등록등본, 가족관계등록부 등), 사산 진단서, 통장사본(여성장애인 본인 명의)",
,,종합사회복지관,일반,종합사회복지관_시설소개,종합사회복지관 층별 안내해줘,종합사회복지관 층별 안내 알려줘,"구분 용도 실명
지하 1층 종합사회복지관 식당, 주방
지상 1층 종합사회복지관 제6~7강의실, 방과 후 공부방, 표현활동실(피아노), 가위손방, 빨래방
지상 2층 종합사회복지관 제5강의실, 고엽제전우회, 대회의실, 드림스타트(아동폭력상담실), 복지관사무실
지상 3층 종합사회복지관 제1~4강의실, 농아인협회, 민주평화통일자문회의, 소비자교육중앙회
지상 4층 도서관 열람실
지상 5층 도서관 자료실",https://www.brcn.go.kr/brwelfare/sub01_02.do
,,,,종합사회복지관_찾아오시는길,종합사회복지관 위치를 알려주세요,"종합사회복지관 위치는 어디야
종합사회복지관 주소 알려줘","복지정보 위치
충남 보령시 천변북길 121
전화번호
041-930-3391",https://www.brcn.go.kr/brwelfare/sub01_04.do
,,,사업안내,가족기능강화사업_방과 후 공부방,방과 후 공부방에 대해 알려줘,"방과 후 공부방 돌봄시간 알려줘
방과 후 공부방 대상인원 알려줘
방과 후 공부방 프로그램내용 알려줘","돌봄시간 및 환경
대상인원 : 60명 / 방과 후 돌봄이 필요한 초등학교 1~3학년(1학년 20명, 2학년 20명, 3학년 20명)
운영시간 : 학기중 12:00 ~ 19:00, 방학중 09:00 ~ 17:00
이용료 : 법정저소득(기초수급자, 차상위계층, 한부모 가정 / 무료), 일반아동 월 70,000원

프로그램 내용
조직 및 업무
구분 내용 비고
학습지도 숙제지도, 국어, 수학, 독서지도, 보드게임 등
특기적성 피아노, 미술, 영어, 독서논술, 체육활동, 과학교실 방학중 : 마술교실
체험학습 체험학습 연 2회
생활지도 기본생활습관, 간식, 석식, 부모상담, 교통안전지도 등 ",https://www.brcn.go.kr/brwelfare/sub02_02_01.do
,,,,교육문화사업_기능·어린이 취미교실,기능 어린이 취미 교실에 대해 알려줘," 기능 어린이 취미 교실 이용방법 안내해줘
  기능 어린이 취미교실 프로그램 알려줘","이용방법
대상 : 보령시에 주민등록이 되어 있는 시민이면 누구나 신청가능
학습지도 : 3~6개월 과정
이용료 : 월 1만원 (무료 대상자 : 만65세 이상, 만 18세 이하 청소년, 다자녀 가정의 부모 및 자녀, 자원봉사자우수회원)
프로그램
기능·어린이취미교실
기능ㆍ어린이 취미교실
과목 대상 정원 수강료 기간 요일 교육시간 교육내용
7과목 　 110명 　 　 　 　 　
컴퓨터 만18세이상 15 1만원 연중 월ㆍ수 10:00 ~ 12:00 파워포인트, 한글, 엑셀 등
한지공예 만18세이상 15 1만원 연중 화ㆍ목 09:30 ~ 12:30 전등, 콘솔 등 생활소품 만들기
우드버닝 만18세이상 15 1만원 연중 월ㆍ수 14:00 ~ 16:00 인두화(풍경,인물화 등)새김
민요교실 만18세이상 20 1만원 연중 금 13:30 ~ 15:30 경기민요 등 각 지역 민요 배우기
야간 영어회화 만18세이상 15 1만원 연중 화ㆍ목 19:00 ~ 21:00 생활영어 회화 및 기초다지기
어린이 그림그리기 초등생 15 무료 1기 토 10:00 ~ 12:00 손과눈 협응력 및 인지능력 발달
마술 초등생 15 무료 1기 토 10:00 ~ 12:00 원리 및 도구사용법 알기
신청방법
방문접수 : 종합복지관팀(041-930-3393, 041-930-3397)",https://www.brcn.go.kr/brwelfare/sub02_02_02.do
,,,,교육문화사업_어르신 여가·문화사업,어르신 여가·문화사업 종류 알려줘,"어르신 여가·문화사업 이용방법 알려줘
어르신 여가·문화사업 프로그램","이용방법
대상 : 보령시에 주민등록이 되어 있는 만65세 이상 어르신
학습지도 : 1~3개월 과정
이용료 : 월 1만원 (무료 대상자 : 만65세 이상, 만 18세 이하 청소년, 다자녀 가정의 부모 및 자녀, 자원봉사자우수회원)
프로그램
어르신여가문화사업
어르신 여가문화교실(은빛교실)
과목 대상 정원 수강료 기간 요일 교육시간 교육내용
3과목 　 50명 　 　 　 　 　
어르신 정보화 65세이상 15 무료 연중 월ㆍ수 13:00 ~ 15:00 컴퓨터 기초 과정 지도
한글교실 만18세이상 15 무료 연중 목ㆍ금 10:00 ~ 12:00 한글기초 및 맞춤법 지도
웃음치료교실 65세이상 20 무료 연중 화ㆍ수 10:00 ~ 12:00 분노, 우울 정서조절
신청방법
방문접수 : 종합복지관팀(041-930-3393, 041-930-3397)",https://www.brcn.go.kr/brwelfare/sub02_02_03.do
,,,,자활지원사업_기능교육,자활지원사업_기능교육이 뭐에요?,"자활지원사업_기능교육 이용방법 알려줘
자활지원사업_기능교육 프로그램 알려줘","이용방법
대상 : 보령시에 주민등록이 되어 있는 시민이면 누구나 신청가능
학습지도 : 3개월 과정
이용료 : 월 1만원 (무료 대상자 : 만65세 이상, 만 18세 이하 청소년, 다자녀 가정의 부모 및 자녀, 자원봉사자우수회원)
프로그램
자활사업
자활지원(기능교육)
과목 대상 정원 수강료 기간 요일 교육시간 교육내용
2과목 / 3종 　 45명 　 　 　 　 　
양재 만18세이상 15 1만원 연중 월ㆍ화 09:30~12:30 리폼 및 예쁜옷 만들기
홈패션 주간 만18세이상 15 1만원 연중 목ㆍ금 09:30 ~ 12:30 인테리어 및 생활소품 만들기
야간 만18세이상 15 1만원 연중 월ㆍ화 19:00 ~ 21:00 인테리어 및 생활소품 만들기
신청방법
방문접수 : 종합복지관팀(041-930-3393, 041-930-3397)",https://www.brcn.go.kr/brwelfare/sub02_04_01.do
,,,,지역사회보호사업_밑반찬지원,지역사회보호사업_밑반찬지원에 대해 알려줘,"지역사회보호사업_밑반찬지원 이용방법 알려줘
지역사회보호사업_밑반찬지원 내용 알려줘","이용방법
대상 : 저소득층 독거 어르신, 장애인 가정 등
서비스내용 : 밑반찬지원
이용절차 : 대상자 의뢰(읍·면·동사무소) > 선정 > 서비스제공
주요사업설명
지역사회보호사업
서비스명 내용 비고
밑반찬지원 매월2회 밑반찬 지원 ",https://www.brcn.go.kr/brwelfare/sub02_03_01.do
,,,,지역사회보호사업_행복빨래방,지역사회보호사업_행복빨래방이 뭐에요,지역사회보호사업_행복빨래방 이용방법 알려줘,"이용방법
대상 : 세탁시설이 취약한 요보호대상자(어르신, 장애인 등)
서비스내용 : 행복빨래방
이용절차 : 대상자 의뢰(읍·면·동사무소) > 선정 > 서비스제공
주요사업설명
지역사회보호사업
서비스명 내용 비고
행복빨래방 세탁물 수거 후 세탁 및 전달(연중시행)
",https://www.brcn.go.kr/brwelfare/sub02_03_02.do
,,,,지역사회보호사업_사랑의 가위손방,사랑의가위손방이 뭐에요?,사랑의 가위손방에 대해서 알려줘,"이용방법
대상 : 65세 이상 저소득층 어르신 및 중증 장애인
서비스내용 : 사랑의 가위손방
이용절차 : 대상자 의뢰(읍·면·동사무소) 및 희망자 > 서비스제공
주요사업설명
지역사회보호사업
서비스명 내용 비고
사랑의 가위손방 컷트, 염색등 이미용 서비스 (매월 둘째주 수요일) ",https://www.brcn.go.kr/brwelfare/sub02_03_03.do
