대분류,중분류,소분류,질문명,대표질문,유사표현,답변,답변 출처 (URL),비고
복지/보건,보령여성인력개발센터,여성새로일하기센터,집단상담프로그램,집단상담프로그램에 대해 알려줘,"집단상담프로그램 교육대상 알려줘
집단상담프로그램 교육특전은 뭐야?
집단상담 프로그램 내용 알려줘
집단상담 프로그램 신청서류는?","[집단상담 프로그램]
미취업 여성들의 구직준비 필수코스
취업 자신감 회복 및 취업정보 제공
전문 직업상담을 통한 진로설정

[교육대상]
경력단절 여성 및 미취업 여성 누구나 가능(고용보험 가입자 또는 사업자등록증 소지자 제외)

[교육특전]
교육비 전액무료, 구직활동 2회 인정, 수료 후 맞춤식 취업연계, 수료증 발급, 정부지원 직업교육훈련 우선참여, 새일여성인턴 우선연계, 간식 및 중식제공

[프로그램 내용]


<IMAGE>
프로그램 내용
https://chatbot1.blob.core.windows.net/%24web/143.png


[신청서류]
신청서(센터 소정 양식), 증명사진2매
※ 신청서양식은 자료실에 있습니다.

[접수문의]
041)935-9663(내선2)
 ",http://www.brjob.or.kr/sub3/sub4.aspx,
복지/보건,보령여성인력개발센터,청년내일채움공제,취업성공패키지,취업성공패키지에 대해 알려주세요,"취업성공패키지 참여대상자는 누구야?
취업성공패키지 취업지원프로그램 알려줘
취업성공패키지 취업지원수당 알려줘
취업성공패키지 신청방법 알려줘
취업성공패키지 지원대상자 제외기준은?","[취업성공패키지란]
고용노동부가 취업에 어려움을 겪는 구직자를 위해 운영중인 맞춤형 취업지원 서비스로 '진단·경로설정->의욕·능력증진->집중 취업알선'에 이르는 통합적인 취업지원 프로그램을 제공하는 종합적인 취업지원체계입니다.

[취업성공패키지 신청방법]
신청방법 : 직접 방문 또는 전화문의
                 TEL : 041-935-9663(내선 3번) FAX : 041-935-2663
신청장소 : 충남 보령시 한내로 11(신협5층) 보령여성인력개발센터
신청서류 : 취업성공패키지 참가신청서
증빙서류 : 중장년층 – 신분증, 건강보험 자격확인서, 건강보험 납부확인서(최근 3개월)
                 청년층 – 신분증, (공통)최종학교 졸업(재학, 제적)증명서, 보호자 또는 학교장 확인서)
참       고 : 고용노동부 홈페이지 www.moel.go.kr
                 (정보마당 -> 주요정책정보 -> 고용서비스 -> 취업성공패키지)

보다 자세한 내용은 아래 URL에서 확인할 수 있습니다.
<LINK>
취업성공패키지
http://www.brjob.or.kr/sub4/sub1.aspx
취업성공패키지 내용",,
복지/보건,보령여성인력개발센터,청년내일채움공제,사업 내용 안내,청년내일채움공제 지원대상 알려줘,"청년내일채움공제 지원대상은?
청년내일채움공제 청년 지원대상 알려줘
청년내일채움공제 기업 지원대상 알려줘청년 내일 채움 공제 사업 어떻게 할 수 있어?
기업 청년 내일 채움 공제 가능한 청년
청년 내일 채움 공제 알려줘
기업 청년 내일 채움 공제 사업
청년 청년 내일 채움 공제 대상
청년 청년 내일 채움 공제 가능한 청년
청년 내일 채움 공제 가능한 청년 어떻게 할 수 있어?
청년 내일 채움 공제 대상 어떻게 할 수 있어?
청년 내일 채움 공제 가능한 청년 받고 싶어
청년 청년 내일 채움 공제 사업
청년 내일 채움 공제 대상 받고 싶어
청년 내일 채움 공제 사업 알려줘
청년 내일 채움 공제 어떻게 할 수 있어?
청년 내일 채움 공제 사업 받고 싶어
청년 내일 채움 공제 대상 알려줘
청년 내일 채움 공제 받고 싶어
청년 내일 채움 공제 가능한 청년 알려줘
기업 청년 내일 채움 공제 대상","[청년내일채움공제]
중소·중견기업에 정규직으로 취업한 청년에게 자산형성 지원을 통해 장기근속을 유도하고 기업은 2년 또는 3년간 우수청년인력확보와 지원금을 지원받는 제도

[청년내일채움공제 지원대상]
[청년]
-정규직 취업일 현재 만 15세 이상 만 34세 이하자로서 고용보험 최초취득자 (군필자의 경우 군복무기간 비례하여 연동 적용 만 39세로 한정)
-최종학교 졸업 이후 고용보험 가입 기간이 12개월 이하인자(12개월 초과자는 6개월 실직기간 적용)
-청년공제와 지원대상, 목적, 지원방식 등이 유사한 자산형성사업 참여자는 중복참여 불가
-참여제한 : 사업자등록증 소지자, 청년공제 1회 이상 가입했던 자, 월급여 총액 350만원 초과자, 소정근로시간 주 30시간 미만자등

[기업]
-고용보험 피보험자수 기준 5인 이상의 중소·중견기업(지식서비스산업, 문화콘텐츠산업에 해당되는 경우 5인 미만 사업장도 가능하나 소비향략업등 일부업종 및 비영리법인은 지원 제외)
-기업의 청년 채용조건
- 주 30시간 이상의 정규직 채용, 최저임금 이상 지급
-3년형의 경우 ‘뿌리산업’에 해당할 경우만 가능(뿌리기업 확인서 제출)
※뿌리산업이란? 주조, 금형, 소성가공, 용접, 표면처리, 열처리등의 뿌리기술을 활용하여 사업을 영위하는 업종이거나 뿌리기술에 활용되는 장비 제조업종",,o
복지/보건,보령여성인력개발센터,청년내일채움공제,지원내용,청년내일채움공제 지원내용 알려줘,"청년내일채움공제 지원내용은?
청년내일채움공제 청년 지원내용 알려줘
청년내일채움공제 기업 지원내용 알려줘청년 내일 채움 공제 지원 내용 어떻게 할 수 있어?
청년 내일 채움 공제 지원 알려줘
청년 내일 채움 공제 지원 내용 받고 싶어
청년 내일 채움 공제 알려줘
청년 청년 내일 채움 공제 지원
청년 내일 채움 공제 지원 어떻게 할 수 있어?
청년 내일 채움 공제 지원 받고 싶어
청년 청년 내일 채움 공제 지원 내용
청년 내일 채움 공제 어떻게 할 수 있어?
기업 청년 내일 채움 공제 지원 내용
기업 청년 내일 채움 공제 지원
청년 내일 채움 공제 지원 내용 알려줘
청년 내일 채움 공제 받고 싶어","[청년내일채움공제 지원내용]
[청년]
-본인, 정부, 기업(정부지원)의 공동적립을 통해 본인납입금 대비 약 5배 수령으로 미래설계 기반 마련
-최소 2~3년 동일 사업장에서 근무하면서 실직적 경력 형성의 기회
-만기 후 중소벤처기업부의 내일채움공제(3~5년)로 연장가입 시 최대 8년의 장기적인 목돈마련가능

[기업]
-인재육성형 전용자금’ 지원 대상으로 편입 등 중소벤처기업부 49개 사업 참여 시 혜택
-잦은 이직으로 인해 인력난이 심각한 중소기업은 우수인력을 고용유지 할 수 있는 기회",,o
복지/보건,보령여성인력개발센터,청년내일채움공제,2년형 적립 구조,2년형 청년내일채움공제 적립구조 알려줘,"2년형 청년내일채움공제 적립구조 청년에 대해 알려줘
2년형 청년내일채움공제 적립구조 기업에 대해 알려줘청년 내일 채움 공제 알려줘
청년 내일 채움 공제 2년형 어떻게 할 수 있어?
청년 청년 내일 채움 공제 2년형
기업 청년 내일 채움 공제 2년 지원금
청년 내일 채움 공제 2년형 알려줘
청년 내일 채움 공제 2년 지원금 받고 싶어
청년 내일 채움 공제 어떻게 할 수 있어?
청년 내일 채움 공제 2년형 받고 싶어
청년 내일 채움 공제 2년 지원금 어떻게 할 수 있어?
기업 청년 내일 채움 공제 2년형
청년 내일 채움 공제 2년 지원금 알려줘
청년 청년 내일 채움 공제 2년 지원금
청년 내일 채움 공제 받고 싶어","[2년형 청년내일채움공제 적립 구조]
청년 : 2년형 만기 시 1,600만원+@이자 목돈마련 (본인납입금: 월 125,000원씩 300만원 적립)
기업 : 기업기여금 400만원 (400만원은 청년에게 자동적립, 50만원은 기업순지원금)


<IMAGE>
지원금 지급표
https://chatbot1.blob.core.windows.net/%24web/147.png
",https://www.brcn.go.kr/kor/sub05_07_02.do,o
복지/보건,보령여성인력개발센터,청년내일채움공제,3년형 적립 구조,3년형 청년내일채움공제 적립구조 알려줘,"3년형 청년내일채움공제 적립구조 청년에 대해 알려줘
3년형 청년내일채움공제 적립구조 기업에 대해 알려줘청년 내일 채움 공제 3년형 어떻게 할 수 있어?
청년 내일 채움 공제 받고 싶어
청년 내일 채움 공제 알려줘
기업 청년 내일 채움 공제 3년형
청년 내일 채움 공제 3년형 알려줘
청년 내일 채움 공제 어떻게 할 수 있어?
청년 내일 채움 공제 3년 지원금 어떻게 할 수 있어?
청년 내일 채움 공제 3년형 받고 싶어
청년 내일 채움 공제 3년 지원금 받고 싶어
기업 청년 내일 채움 공제 3년 지원금
청년 청년 내일 채움 공제 3년 지원금
청년 내일 채움 공제 3년 지원금 알려줘
청년 청년 내일 채움 공제 3년형","[3년형 청년내일채움공제 적립 구조]
청년 : 3년형 만기 시 3,000만원+@이자 목돈마련 (본인납입금: 월 165,000원씩 600만원 적립)
기업 : 기업기여금 600만원 (600만원은 청년에게 자동적립, 70만원은 기업순지원금)


<IMAGE>
지원금 지급표
https://chatbot1.blob.core.windows.net/%24web/148.png
",,o
복지/보건,보령여성인력개발센터,청년내일채움공제,신청 안내,청년내일채움공제 신청기한과 신청방법을 알려줘,"청년내일채움공제 신청기한 알려줘
청년내일채움공제 신청방법 알려줘기업 청년 내일 채움 공제 기한
청년 내일 채움 공제 알려줘
기업 청년 내일 채움 공제 신청방법
청년 내일 채움 공제 신청기한 알려줘
청년 청년 내일 채움 공제 신청기한
청년 내일 채움 공제 신청방법 알려줘
기업 청년 내일 채움 공제 신청기한
청년 청년 내일 채움 공제 기한
청년 청년 내일 채움 공제 신청방법
청년 내일 채움 공제 기한 알려줘
청년 내일 채움 공제 신청 알려줘
청년 청년 내일 채움 공제 신청
기업 청년 내일 채움 공제 신청","[신청기한]
정규직 채용일 기준 6개월 이내만 청약 가능

[신청방법]
-워크넷 가입 신청: 아래 링크에서 청년과 기업이 각각 온라인 신청
가입 신청 시 해당 참여유형 (2년형 또는 3년형) 확인 후 내용 작성하고 운영기관은 ‘(사)온터두레회 보령여성인력개발센터’를 선택 후 신청 완료

<LINK>
청년내일채움공제 신청
http://www.work.go.kr/youngtomorrow
워크넷 청년내일채움공제 신청


-청약 신청: 아래 링크에서 기업이 먼저 신청 후 청년이 청약 신청
청약 신청은 공제 참여 요건에 해당하는 청년과 기업만 가능

<LINK>
청년내일채움공제 청약 신청
http://sbcplan.or.kr/
청년내일채움공제 청약신청
",,o
복지/보건,보령여성인력개발센터,취업지원,구인/구직등록 절차,구인/구직등록 절차 알고싶어요,"구인 절차 알려줘
구직등록 절차 알려줘 ","[구인신청절차]
이메일,팩스, 방문 -> 이메일,팩스,방문을 통해 사업자등록증 사본제출->구인싱청서 제출 -> 근로조건, 기재누락, 허위기재사항 확인 후 구인표 접수

[구직 신청절차]
센터방문 -> 구직자 기초상담(구직자유형별 분류) -> 구직표작성 -> 구직표 접수(등록)

[구인표 서식]
열린공간 -> 자료실/서식 -> 구인표

[신청 및 문의사항]
041-935-9663(내선2번)/ FAX: 041-935-2663/ 이메일: brjob@hanmail.net",,
복지/보건,건강가정/다문화 가족 지원센터,찾아오시는길,위치 및 문의처,건강가정 다문화가족지원센터 주소 알려주세요,"건강가정 다문화가족지원센터 찾아가는 길 알려줘
건강가정 다문화가족지원센터 전화번호 알려줘","[보령시 건강가정·다문화가족지원센터 주소]
주소 : (33433) 충청남도 보령시 한내로 45 문화빌딩 2층 (동대동)

[문의처]
대표전화 : 041-936-8506
상담전화 : 041-934-0033
아이돌봄 : 041-935-0131
팩스 : 041-936-8596
e-mail : brcenter19@naver.com",,
복지/보건,건강가정/다문화 가족 지원센터,프로그램안내,프로그램,프로그램 목록/ 일정 알려줘,"프로그램 목록 알려줘
프로그램 일정 알려줘","[보령시 건강가정 다문화 가족지원센터]
[프로그램 목록]
보령시 건강가정 다문화 가족지원센터에서 진행하는 프로그램 목룍과 일정은 아래 URL에서 자세히 확인할 수 있습니다.
<LINK>
프로그램 목록 및 일정
https://boryeong.familynet.or.kr/center/lay1/program/S295T322C324/receipt/list.do
프로그램 목록 및 일정",https://www.brcn.go.kr/kor/sub05_07_05_01.do,
복지/보건,건강가정/다문화 가족 지원센터,사이버상담,사이버상담,건강가정 다문화가족지원센터 사이버상담 하고싶어요,건강가정 다문화가족지원센터에 상담 연결해주세요,"[상담 연결]
아래 URL을 눌러 상담을 받을 수 있습니다.
<LINK>
상담 연결
https://boryeong.familynet.or.kr/center/lay1/bbs/S295T325C434/G/10/list.do
다문화가족지원센터 상담 연결",https://www.brcn.go.kr/kor/sub05_07_05_02.do,
복지/보건,보건소,보건소소개,업무안내,보건소에서 하는 업무안내 해주세요,"보건소에서 하는 업무안내 해줘
보건행정팀 업무 알려줘
감염병관리팀에서 하는 업무
코로나 팀에서 하는 업무
의약팀 담당하는 업무
보건소 진료팀 담당업무
위생팀 하고 있는 업무
위생계 담당 업무
건강증진팀에서 하고 있는 업무
방문보건팀 업무
모자보건팀 맡은 바
치매관리팀에서 하는거","[보건행정팀 업무]
보건소 소관 업무의 종합 계획 수립ㆍ조정ㆍ총괄
보건기관 지도 감독
직원 복무관리에 관한 사항
예산운영 및 회계 관리
의료장비 및 물품 관리
공중보건의사 복무 지도 감독
문서 및 공인관리
지역 보건의료계획 수립 · 평가에 관한 사항
농어촌 의료 서비스 개선 사업
보건정보시스템 운영 · 관리
각종 보건통계연보에 관한 사항
관용차량 관리 운영
청사관리에 관한 사항
보건지소, 보건 진료소 운영지원
소내 타과 및 과내 타 담당에 속하지 않은 사항
감 염 병 관 리 팀
방역대책 수립 및 시행
급 · 만성 감염병 예방관리사업
예방접종
결핵 · 한센병 · 성병 · AIDS 관리
임상검사업무에 관한 사항
신종감염병 예방관리
소독업 허가 지도 및 소독의무대상시설관리 업무

[의약팀 업무]
의약업소 인 · 허가 및 지도단속
화장품 및 안정상비의약품 판매 업소 관리 업무
마약, 향정신성 의약품, 대마관리
무허가 · 부정의약업자 단속
응급의료 및 재난 관리
장기기증에 관한사항
안경업소 개설등록 및 지도감독
의료기관 세탁물 등 처리에 관한 사항
의료 유사업자, 안마시술소의 인 · 허가 및 지도감독
진단용 방사선 발생 장치 신고 및 지도감독
충무계획 수립 시행에 관한 사항
건강진단 등 신고에 관한 사항

[진료팀]
보건소 · 보건지소 환자 진료 및 치료에 관한 사항 (내과 · 치과 · 한방 · 물리치료)
전염병 환자 진료에 관한 사항
건강진단서 등 제증명 발급
발전소 주변지역 주민 건강검진비 지원 사업
원격 영상진료서비스 운영
의료비 및 기타 의료 수가의 징수
진료약품 · 소모품 · 기자재관리
방사선 검사에 관한 사항
일반건강검진 (지역 · 직장 · 의료급여)
학생 건강검진 및  영유아 구강검진

[위생팀]
식품첨가물제조, 식품제조가공, 즉석판매제조
건강기능식품판매, 건강기능식품수입업, 식품판매 신고, 변경 및 업종 관련업무 처리
부정 · 불량식품 유통 관리 및 수거검사
유흥주점, 단란주점, 휴게음식점 영업허가
제과점영업, 위탁급식영업, 식품자동판매기
집단급식소신고 및 운영관리
공중위생업종(숙박, 이용, 세탁, 목욕, 위생관리, 위생처리업) 영업신고, 변경 및 관련업무 처리
이 · 미용사 면허관리
식중독 관련업무 처리
일반음식점 영업신고, 변경 및 관련업무 처리
조리사 면허

[건강증진팀]
지역사회 통합건강증진 사업 운영에 관한 사항
건강생활 실천사업에 관한 사항
국민건강 영양조사
지역사회 중심 금연사업 운영에 관한 사항
구강보건사업 운영에 관한 사항
노인건강증진 프로그램 운영에 관한 사항

[방문보건팀]
맞춤형 건강관리 사업에 관한 사항
거동불편자 방문진료에 관한 사항
보호자 없는 병실 간병비 지원 사업
암관리사업 (국가 암 검진, 암환자 의료비 지원, 재가 암 환자 관리)
만성질환관리사업 (심혈관계질환 등)
생애전환기 건강검진사업
희귀 · 난치성 질환자 의료비 지원
재활사업(노인 · 장애인 등)
진폐환자 의료비 지원
취약계층 공공의료지원(관절 · 척추질환 · 개안수술)

[정신건강팀]
정신건강증진 사업
정신건강증진센터 운영
아동청소년 정신건강사업
중독예방사업
재가정신질환자 치료비지원
자살예방사업
자살고위험군멘토링사업
생명사랑 행복마을 운영

[모자보건팀]
가임기 여성 및 임산부 건강관리 지원 사업
산모 · 신생아 건강관리 지원 사업
저소득층 기저귀 · 조제분유 지원 사업
난임부부 시술비 지원 사업(인공 · 체외 수정 시술비)
고위험 임산부 의료비 지원 사업
청소년 산모 임산 · 출산 의료비 지원 사업
임산부 · 영유아 영양플러스 지원 사업
아토피 · 천식 예방관리 사업
미숙아 · 선천성이상아 · 선청성 대사이상아 의료비 지원 사업
신생아 청각선별검사 지원
취학전 아동 실명예방 사업
영유아 건강검진

[치매관리팀]
치매 상담센터 운영
치매 조기검진 사업
치매 입원 환자 간병비지원
치매 노인 위치추적 단말기 보급 및 의식표 지원
치매환자 및 요실금질환자 간호용품 지원",https://www.brcn.go.kr/health/sub01_02_02.do,
복지/보건,보건소,직원안내,보건행정과,보건행정과 직원 안내 해주세요,"보건행정과 직원번호 알려줘
감염병관리팀 직원 전화번호
의약팀 전화할 때
진료팀 조직도
위생팀 조직도
코로나19 담당자 전화번호","[보건행정과 조직 및 직원안내]
보건행정과 조직 혹은 직원 상세는 아래 URL에서 확인할 수 있습니다.

<LINK>
보건행정과 조직 및 직원안내
https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_01/4510230/list.do
보건행정과 조직과 직원 상세 확인할 수 있습니다.",https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_01/4510231/list.do,
복지/보건,보건소,직원안내,건강증진과,건강증진과 직원 안내 해주세요,"건강증진과 직원번호 알려줘
건강증진팀 직원 전화번호 알려줘
방문보건팀 조직도
정신건강팀 연락처
모자보건팀 문의처
치매관리팀 연락 창구 ","[건강증진과 조직 및 직원안내]
건강증진과 조직 혹은 직원 상세는 아래 URL에서 확인할 수 있습니다.

<LINK>
건강증진과 조직 및 직원안내
https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_02/4510134/list.do
건강증진과 조직과 직원 상세를 확인할 수 있습니다.",https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_02/4510135/list.do,
복지/보건,보건소,직원안내,"직원안내(지소,진료소)","지소,진료소 직원안내 해주세요","진료소 직원번호 알려줘
지소 전화번호
웅천보건지소 진료 볼 수 있는 항목
주포보건지소 문의처
주교보건지소 전화번호
오천보건지소 주요 업무 ","[보령시내 보건지소 직원 및 진료업무 안내]
보령시내 보건소의 직원과 진료업무는 아래 URL에서 확인할 수 있습니다.

<LINK>
보건지소 직원 및 진료업무 안내
https://www.brcn.go.kr/health/sub01_06_03.do
보령시내 보건소의 직원과 진료업무를 확인할 수 있습니다.",https://www.brcn.go.kr/health/sub01_06_04.do,
복지/보건,보건소,시설안내,1층/2층,보건소 시설안내 해주세요,"보건소 1층 시설안내 해주세요
보건소 2층 시설안내 해주세요
보건소 방문보건팀 위치 알려줘
보건소 건강상담실 위치 알려줘","[보건소 1층 시설 안내]
<IMAGE>
보건소 1층
https://www.brcn.go.kr/images/specific/health/sub1/facil_img01.jpg

[보건소 2층 시설 안내]
<IMAGE>
보건소 2층
https://www.brcn.go.kr/images/specific/health/sub1/facil_img02.jpg",https://www.brcn.go.kr/health/sub01_03.do,
복지/보건,보건소,위치 및 문의처,보령시보건소,보령시보건소 찾아가는길 알려줘,"보령시보건소 주소 알려줘
보령시보건소 전화번호 알려줘
보령시 보건소 이용안내해줘
보령시 보건소 운영시간 알려줘보건소 위치 알려줘
보건소 근무시간 알려줘
보건소 번호 알려줘
보건소 전화번호 알려줘
보건소 시간 알려줘
보건소 알려줘
보건소 어디에 있는지 알려줘","[주소]
충남 보령시 남포면 보령남로 234

[전화번호]
041-930-0900, 5910(보건행정과)
041-930-5960 (건강증진과)

[FAX]
041-930-5909(보건행정과)
041-930-5959(건강증진과)

[이용안내]
근무시간 : 월 ~ 금요일 09:00 ~ 18:00
※ 예방접종은 09:00 ~ 15:00 (성인 매일 / 영유아 월, 목)
점심시간 : 12:00 ~ 13:00",,o
복지/보건,보건소,위치 및 문의처,보건지소/진료소,보령시 보건지소 주소 알려줘,"보령시 진료소 위치좀 알려줘
보건 진료소 위치 알고 싶어보건지소 위치 알려줘
진료소 알려줘
보건지소 근무시간 알려줘
진료소 근무시간 알려줘
보건지소 번호 알려줘
보건지소 시간 알려줘
진료소 전화번호 알려줘
보건지소 어디에 있는지 알려줘
진료소 번호 알려줘
진료소 어디에 있는지 알려줘
진료소 위치 알려줘
보건지소 전화번호 알려줘
진료소 시간 알려줘
보건지소 알려줘","[보건지소 주소 및 전화번호]
<IMAGE>
보건지소 주소 및 전화번호
https://chatbot1.blob.core.windows.net/%24web/160-1.png

[진료소 주소 및 전화번호]
<IMAGE>
보건지소 주소 및 전화번호
https://chatbot1.blob.core.windows.net/%24web/160-2.png",https://www.brcn.go.kr/health/sub01_04_02.do,o
복지/보건,보건소,진료/검진,의과진료,보령시 보건소 의과진료 안내해주세요,"보령시 보건소 의과진료 시간 알려줘
보령시 보건소 의과진료 진료내용 알려줘
보령시 보건소 의과진료비 알려줘
보령시 보건소 의과진료 준비물 알려줘
보령시 보건소 의과진료 담당부서 알려줘보건소 고혈압 알려줘
보건소 방사선 어떻게 할 수 있어?
보건소 퇴행성질환 알려줘
보건소 방사선 받고 싶어
보건소 고혈압 어떻게 할 수 있어?
보건소 진료 알려줘
보건소 퇴행성질환 어떻게 할 수 있어?
진료 보건소 진료
보건소 어떻게 할 수 있어?
보건소 퇴행성질환 받고 싶어
진료 보건소 방사선
진료 보건소 고혈압
보건소 받고 싶어
보건소 고혈압 받고 싶어
진료 보건소 퇴행성질환
보건소 방사선 알려줘
보건소 진료 어떻게 할 수 있어?
보건소 알려줘
보건소 진료 받고 싶어","[진료시간]
09:00 ~ 18:00 (토요휴무)
(점심시간 : 12:00 ~ 13:00)

[진료내용]
-만성퇴행성질환, 당뇨, 고혈압 및 기타 내과질환
-방사선촬영 (흉부촬영), 물리치료, 임상병리검사 등
-건강상담 등

[진료비 (본인부담금)]
-처방전 발급 시 : 500원
-검사 및 처치 시 : 1,100원

[진료비 (본인부담금) 감면 대상]
-국민 기초생활수급권자 및 65세 이상 노인
-장애인 및 국가보훈대상자
-다자녀 가정에서 세 번째부터 출생한 만 19세 미만인 자녀 (신설 2009.02.20)
-장기기증자 및 장기기증 등록자

[준비물]
건강보험증, 의료보호증, 장애인 및 국가보훈증, 장기기증 등록증

[담당 부서]
보건행정과 진료팀 최소자 041-930-5945",https://www.brcn.go.kr/health/sub02_01_01.do,o
복지/보건,보건소,진료/검진,치과진료,보령시 보건소 치과진료 안내해주세요,"보령시 보건소 치과진료 시간 알려줘
보령시 보건소 치과진료 진료내용 알려줘
보령시 보건소 치과진료비 알려줘
보령시 보건소 치과진료 준비물 알려줘
보령시 보건소 치과진료 담당부서 알려줘보건소 충치 받고 싶어
보건소 잇몸 받고 싶어
보건소 잇몸 알려줘
보건소 받고 싶어
보건소 어떻게 할 수 있어?
진료 보건소 치과
보건소 치과 알려줘
보건소 잇몸 어떻게 할 수 있어?
보건소 치과 어떻게 할 수 있어?
보건소 치과 받고 싶어
보건소 충치 어떻게 할 수 있어?
보건소 충치 알려줘
보건소 알려줘
진료 보건소 잇몸
진료 보건소 충치","[진료시간]
09:00 ~ 18:00 (토요휴무)
(점심시간 : 12:00 ~ 13:00)

[진료내용]
-충치 (치아우식증) 치료, 치주 (잇몸) 치료, 발치 및 기타 구강질환 치료 및 상담
-의치 (틀니), 보철은 하지 않습니다.

[진료비 (본인부담금)]
1,100원, 원외처방료 (처방전 발급) 500원

[진료비 (본인부담금) 감면 대상]
-국민 기초생활수급권자 및 65세 이상 노인
-장애인 및 국가보훈대상자
-다자녀 가정에서 세 번째부터 출생한 만 19세 미만인 자녀(신설 2009.02.20)
-장기기증자 및 장기기증 등록자

[준비물]
건강보험증, 의료보호증, 장애인 및 국가보훈증, 장기기증 등록증

[담당 부서]
보건행정과 진료팀 설미향 041-930-5941",https://www.brcn.go.kr/health/sub02_01_02.do,o
복지/보건,보건소,진료/검진,한의과진료,보령시 보건소 한의과진료 안내해주세요,"보령시 보건소 한의과진료 시간 알려줘
보령시 보건소  한의과진료 진료내용 알려줘
보령시 보건소  한의과진료비 알려줘
보령시 보건소  한의과진료 준비물 알려줘
보령시 보건소  한의과진료 담당부서 알려줘보건소 침술 어떻게 할 수 있어?
보건소 침술 받고 싶어
보건소 한의학 알려줘
진료 보건소 한방
보건소 한의학 받고 싶어
진료 보건소 침술
보건소 침술 알려줘
보건소 어떻게 할 수 있어?
보건소 받고 싶어
진료 보건소 한의학
보건소 한의학 어떻게 할 수 있어?
보건소 한방 알려줘
보건소 한방 어떻게 할 수 있어?
보건소 한방 받고 싶어
보건소 알려줘","[진료시간]
09:00 ~ 18:00 (토요휴무)
(점심시간 : 12:00 ~ 13:00)

[진료내용]
-진료과 (한방침구과, 한방내과, 한방부인과, 한방신경과 등)
-침, 부황, 뜸, 투약 등
-한방보건상담 등

[진료비 (본인부담금)]
본인부담금 : 1,100원
<IMAGE>
한의과진료비표
163.png

[진료비 (본인부담금) 감면 대상]
-국민 기초생활수급권자 및 65세 이상 노인
-장애인 및 국가보훈대상자
-다자녀 가정에서 세 번째부터 출생한 만 19세 미만인 자녀 (신설 2009.02.20)
-장기기증자 및 장기기증 등록자

[준비물]
건강보험증, 의료보호증, 장애인 및 국가보훈증, 장기기증 등록증

[담당 부서]
보건행정과 진료팀 최소자 041-930-5920",https://www.brcn.go.kr/health/sub02_01_03.do,o
복지/보건,보건소,검진,제증명 발급,보령시보건소 발급가능한 제증명은 어떤것이 있나요? ,"
보령시보건소 건강진단결과서 발급 알려주세요
보령시보건소 일반 건강진단서 발급 알려주세요
보령시보건소 응시용 건강진단서 발급 알려주세요
보령시보건시 자격 취득 건강진단서 발급 알려주세요
보령시보건시 기숙사용 건강진단서 발급 알려주세요
보령시보건시 신체 검사서 발급 알려주세요보건소 건강진단 결과서 어떻게 할 수 있어?
보건소 증명서 뽑으려면 어떻게 할 수 있어?
보건소 증명서 발급 알려줘
보건소 받고 싶어
보건소 어떻게 할 수 있어?
보건소 증명서 발급 받고 싶어
보건소 일반 건강진단서 알려줘
보건소 일반 건강진단서 어떻게 할 수 있어?
보건소 건강진단 결과서 받고 싶어
보건소 일반 건강진단서 받고 싶어
보건소 건강진단 결과서 알려줘
보건소 증명서 뽑으려면 받고 싶어
보건소 알려줘
보건소 증명서 발급 어떻게 할 수 있어?
보건소 증명서 뽑으려면 알려줘","[발급가능 제증명]
보령시 보건소에서 발급가능한 제증명은 아래와 같습니다.
-건강진단결과서
-일반 건강진단서
-응시용 건강진단서
-자격 취득 건강진단서
-기숙사용 건강진단서
-신체 (적성) 검사서

각각 증명서에 대한 자세한 내용은 아래 URL에서 확인할 수 있습니다.
<LINK>
발급가능 제증명
https://www.brcn.go.kr/health/sub02_02_01.do
발급가능 제증명의 자세한 내용을 확인할 수 있습니다.",https://www.brcn.go.kr/health/sub02_02_01.do,o
